Country,Adults,Mean Wealth Per Adult,Median Wealth Per Adult,"Under 10,000","10,000-100,000","100,000-1 million",Over 1 million,Total,Gini
Afghanistan,"16,838","1,463",640,98.6,1.4,0,0,100,65.5
Albania,"2,225","31,366","14,731",38,57.9,3.9,0.1,100,63.7
Algeria,"26,983","9,348","3,267",78.7,20.4,0.9,0,100,74.9
Angola,"13,403","3,649","1,370",94,5.8,0.2,0,100,73.1
Antigua and Barbuda,71,"24,964","6,961",61,35.2,3.6,0.2,100,82.3
Argentina,"30,320","10,256","3,164",81.2,17.8,0.9,0.1,100,76.8
Armenia,"2,177","19,517","8,309",55,42.7,2.2,0.1,100,66.3
Aruba,80,"58,033","21,750",30,58,11.6,0.4,100,70.3
Australia,"18,655","386,058","181,361",6.7,27.6,59.4,6.3,100,65.6
Austria,"7,092","274,919","94,070",22.9,28.3,44.5,4.4,100,73.9
Azerbaijan,"6,997","11,865","5,150",70.1,28.8,1,0,100,65.4
Bahamas,292,"76,507","20,129",39,46,14.1,0.9,100,82.8
Bahrain,"1,219","87,108","30,946",29.5,50.5,19.1,0.9,100,74.7
Bangladesh,"104,872","6,643","2,787",84.6,14.9,0.4,0,100,67.8
Barbados,214,"64,658","20,497",37,50,12.4,0.6,100,77.8
Belarus,"7,390","16,590","7,931",56.5,42,1.4,0,100,62.1
Belgium,"8,913","246,135","117,093",0,45.1,51.8,3.1,100,60.3
Belize,228,"10,864","3,166",78,20.7,1.2,0.1,100,80.3
Benin,"5,475","2,166",845,97.2,2.7,0.1,0,100,70.7
Bolivia,"6,678","11,672","3,843",76.1,22.6,1.2,0.1,100,76.4
Bosnia and Herzegovina,"2,815","27,873","13,037",42,54.5,3.4,0.1,100,64.2
Botswana,"1,409","14,684","4,550",73,24.8,2.1,0.1,100,80
Brazil,"150,089","23,550","5,031",70.2,27.1,2.5,0.2,100,84.9
Brunei,304,"44,541","13,634",44,49.6,6,0.4,100,78.7
Bulgaria,"5,697","42,686","18,948",32.2,61.2,6.4,0.2,100,65.9
Burkina Faso,"8,862","1,440",589,98.6,1.4,0,0,100,68.8
Burundi,"5,131",609,250,99.6,0.4,0,0,100,68.1
Cambodia,"9,797","5,395","2,029",90.5,9.1,0.4,0,100,71.8
Cameroon,"11,754","2,840","1,036",95.5,4.3,0.2,0,100,74.3
Canada,"29,136","294,255","107,004",20.4,28.4,46.7,4.5,100,72.8
Central African Republic,"2,183",749,244,99.3,0.7,0,0,100,77.7
Chad,"6,551","1,167",435,98.8,1.1,0,0,100,73
Chile,"13,331","56,972","19,231",38.6,52.4,8.6,0.5,100,79.8
China,"1,090,231","58,544","20,942",24.6,65,10,0.4,100,70.2
Colombia,"34,254","16,411","5,325",68.3,29.7,1.9,0.1,100,77
Comoros,423,"5,155","1,679",91.5,8.1,0.4,0,100,78.3
"Congo, Dem. Rep.","37,100","1,084",382,98.8,1.1,0,0,100,75.5
"Congo, Rep.","2,618","2,701",913,95.6,4.2,0.2,0,100,76.9
Costa Rica,"3,547","33,683","11,793",46.3,48.6,4.9,0.2,100,75
Croatia,"3,329","62,804","29,183",20,66.8,12.9,0.4,100,64.5
Cyprus,918,"116,207","28,803",24,59,15.7,1.3,100,80.1
Czech Republic,"8,509","64,663","20,854",23.3,66.9,9.3,0.5,100,72.5
Denmark,"4,475","284,022","58,784",35.8,20.6,38.3,5.3,100,83.8
Djibouti,583,"2,936","1,120",95.4,4.4,0.1,0,100,72.9
Dominica,55,"33,306","9,447",52,42.8,4.9,0.3,100,82.3
Ecuador,"10,725","19,144","6,399",62.9,34.7,2.2,0.1,100,75.9
Egypt,"58,309","15,395","4,900",71.4,26.9,1.6,0.1,100,75.6
El Salvador,"4,087","29,870","10,148",49.6,46.1,4.1,0.2,100,74.3
Equatorial Guinea,724,"17,559","5,545",70,27.2,2.7,0.1,100,79.3
Eritrea,"2,526","4,134","1,910",92.3,7.5,0.2,0,100,62.1
Estonia,"1,028","78,458","24,915",23.5,61,14.8,0.7,100,71.6
Ethiopia,"52,970","3,085","1,360",96.1,3.7,0.1,0,100,62
Fiji,580,"15,598","6,126",64,34.2,1.7,0.1,100,70.2
Finland,"4,341","183,124","55,532",19,43.8,34.8,2.4,100,74.2
France,"49,722","276,121","101,942",14,35.5,46.3,4.2,100,69.6
Gabon,"1,149","15,113","6,035",66,32.4,1.6,0.1,100,71.9
Gambia,969,"2,141",694,96.6,3.3,0.1,0,100,77.1
Georgia,"2,932","12,609","5,226",70,28.7,1.2,0,100,68.7
Germany,"67,668","216,654","35,313",40.6,21,35.2,3.2,100,81.6
Ghana,"15,377","4,292","1,706",92.5,7.2,0.2,0,100,69.9
Greece,"9,021","96,110","40,000",14.3,61.3,23.6,0.8,100,65.4
Grenada,71,"45,272","12,218",46,47.3,6.2,0.5,100,82.7
Guinea,"6,268","2,185",802,96.9,3,0.1,0,100,74.1
Guinea-Bissau,936,"1,647",655,98.1,1.8,0.1,0,100,71.2
Guyana,482,"11,349","3,829",76,22.9,1,0.1,100,73.4
Haiti,"6,426",723,214,99.3,0.7,0,0,100,80.1
Hong Kong SAR,"6,267","489,258","146,887",13,29.3,49.5,8.2,100,77.7
Hungary,"7,803","44,321","17,666",33.6,58.8,7.3,0.2,100,66.3
Iceland,250,"380,868","165,961",16,23,54.5,6.5,100,69.4
India,"865,783","14,569","3,042",78.2,20,1.7,0.1,100,83.2
Indonesia,"172,908","10,545","1,977",81.6,17.3,1,0.1,100,83.3
Iran,"57,686","13,437","5,254",68.8,29.7,1.4,0,100,70.5
Iraq,"19,788","16,540","7,331",58.9,39.5,1.6,0.1,100,63.3
Ireland,"3,491","272,310","104,842",25.8,23.3,46.5,4.5,100,79.6
Israel,"5,499","196,568","58,066",18,46.2,33.5,2.4,100,77.7
Italy,"48,509","234,139","91,889",5.8,46.2,44.9,3.1,100,66.9
Jamaica,"2,002","20,878","6,798",61,36.2,2.6,0.1,100,77.5
Japan,"104,963","238,104","110,408",4.6,42.6,49.9,2.9,100,62.6
Jordan,"5,512","26,475","10,947",47.8,48.8,3.3,0.1,100,69.6
Kazakhstan,"12,147","26,317","6,642",61.8,34.6,3.4,0.2,100,77.2
Kenya,"25,384","9,791","3,553",77.5,21.5,0.9,0,100,74.5
Korea,"41,721","175,015","72,198",0,66.9,31.3,1.8,100,60.6
Kuwait,"3,086","131,269","46,218",29.3,44.2,24.5,2,100,76.3
Kyrgyzstan,"3,721","5,758","2,412",88,11.6,0.4,0,100,68.1
Laos,"4,042","6,720","2,002",87.2,12,0.7,0,100,79.4
Latvia,"1,536","60,347","13,348",44,45,10.4,0.6,100,78.9
Lebanon,"4,205","55,226","12,198",45.2,46,8.2,0.5,100,81.9
Lesotho,"1,233","1,313",384,98.1,1.9,0.1,0,100,80.5
Liberia,"2,350","2,169",820,97.1,2.8,0.1,0,100,72.7
Libya,"4,169","19,473","8,330",55.2,42.7,2,0.1,100,65.9
Lithuania,"2,296","50,254","22,261",28,63.6,8.1,0.3,100,66.3
Luxembourg,461,"358,003","139,789",0,40,55.1,4.9,100,67
Madagascar,"12,909","1,610",626,98.1,1.8,0.1,0,100,72.2
Malawi,"8,798","1,313",468,98.4,1.5,0.1,0,100,75.1
Malaysia,"21,823","31,270","8,940",53.4,42.7,3.7,0.2,100,79.6
Maldives,315,"23,297","8,555",54,42.8,3.1,0.1,100,72.4
Mali,"8,088","1,955",773,97.6,2.3,0.1,0,100,70.7
Malta,349,"143,566","76,016",14,48,36.7,1.3,100,64
Mauritania,"2,310","2,397",976,97,2.9,0.1,0,100,68.1
Mauritius,951,"50,796","20,875",30,60,9.7,0.3,100,66.2
Mexico,"85,594","31,553","9,944",50.2,45.2,4.4,0.2,100,77.7
Moldova,"3,193","12,804","5,855",66.2,32.6,1.1,0,100,64.5
Mongolia,"1,986","6,135","2,654",86.5,13.1,0.4,0,100,66.8
Montenegro,477,"53,484","24,242",25,65,9.7,0.3,100,64.8
Morocco,"23,613","12,929","4,010",75.5,23.1,1.3,0.1,100,76.6
Mozambique,"13,814",880,352,99.3,0.7,0,0,100,71.6
Myanmar,"34,915","3,323","1,556",96.1,3.8,0.1,0,100,59.7
Namibia,"1,395","17,220","5,502",69.5,27.8,2.7,0.1,100,78.8
Nepal,"17,585","3,870","1,510",94,5.8,0.2,0,100,71
Netherlands,"13,326","279,077","31,057",45.1,13.4,35.3,6.2,100,90.2
New Zealand,"3,525","304,124","116,437",9.3,36.8,48.8,5.2,100,67.2
Nicaragua,"3,937","9,279","3,005",80.5,18.6,0.9,0,100,75.9
Niger,"8,909","1,126",463,99.1,0.9,0,0,100,68.2
Nigeria,"90,731","4,881","1,249",92.9,6.7,0.4,0,100,80.9
Norway,"4,100","267,348","70,627",28.2,27,40.8,4,100,79.8
Oman,"3,608","43,291","14,723",43.2,50.2,6.2,0.3,100,78.6
Pakistan,"113,388","4,098","1,766",93.4,6.4,0.2,0,100,66.5
Panama,"2,711","39,980","13,259",44.7,48.9,6.1,0.3,100,78
Papua New Guinea,"4,611","6,485","2,120",87.2,12.2,0.6,0,100,76.6
Paraguay,"4,268","11,865","3,887",75.6,23.1,1.2,0.1,100,76.8
Peru,"21,132","17,843","4,989",71.2,26.8,1.9,0.1,100,78.8
Philippines,"63,365","12,063","2,618",84.1,14.7,1.1,0.1,100,83.7
Poland,"30,598","57,873","22,600",26.8,62.6,10.2,0.4,100,67.7
Portugal,"8,373","131,088","44,025",14.7,54.7,29.3,1.4,100,69.2
Qatar,"2,223","147,745","69,671",10.7,49.7,38.4,1.3,100,63.3
Romania,"15,517","43,074","19,582",29.8,62.9,7.2,0.2,100,64.7
Russia,"111,481","27,381","3,683",79.1,18.1,2.7,0.2,100,87.9
Rwanda,"6,313","3,435","1,259",94.4,5.4,0.2,0,100,74.2
Samoa,106,"37,066","13,286",44,50.2,5.5,0.3,100,74.7
Sao Tome and Principe,98,"3,654","1,545",94.3,5.5,0.2,0,100,67.4
Saudi Arabia,"23,208","67,032","16,599",41.4,47.8,10.2,0.6,100,83.4
Senegal,"7,763","4,265","1,632",92.6,7.2,0.2,0,100,72.6
Serbia,"6,798","25,046","10,737",47.9,48.7,3.3,0.1,100,67.6
Seychelles,68,"57,835","22,572",33,54,12.6,0.4,100,70.4
Sierra Leone,"3,698",693,278,99.5,0.4,0,0,100,69.4
Singapore,"4,637","297,873","96,967",14,36.6,44.9,4.5,100,75.7
Slovakia,"4,340","66,171","40,432",0,83.2,16.6,0.2,100,49.8
Slovenia,"1,675","122,508","50,380",4.5,66,28.6,0.9,100,66.2
Solomon Islands,321,"12,933","5,260",71,27.6,1.4,0,100,70
South Africa,"36,027","21,380","6,476",64.6,32.2,3.1,0.1,100,80.6
Spain,"37,450","207,531","95,360",16.9,34.5,45.9,2.6,100,69.4
Sri Lanka,"14,408","20,628","8,283",55.1,42.1,2.7,0.1,100,70
St. Lucia,133,"36,586","13,418",43,51.4,5.3,0.3,100,72.8
St. Vincent and the Grenadines,75,"20,088","5,508",68,29,2.8,0.2,100,81.8
Sudan,"20,474",534,218,99.7,0.3,0,0,100,68.7
Suriname,373,"6,089","1,562",90.2,9.1,0.7,0,100,83.2
Sweden,"7,723","265,260","41,582",35.8,28.9,30.5,4.8,100,86.7
Switzerland,"6,866","564,653","227,891",13,20.7,54.5,11.8,100,70.5
Syria,"9,664","2,179",884,97.1,2.8,0.1,0,100,69.9
Taiwan,"19,296","210,525","70,191",15.4,43.5,38.3,2.7,100,75.1
Tajikistan,"5,118","3,602","1,589",94.8,5.1,0.2,0,100,65.6
Tanzania,"26,837","3,069","1,282",95.7,4.1,0.1,0,100,66.1
Thailand,"53,073","21,854","3,726",71.1,26.6,2.2,0.2,100,84.6
Timor-Leste,602,"5,143","2,453",91.6,8.1,0.2,0,100,56.5
Togo,"3,909","1,241",469,98.7,1.3,0,0,100,73.4
Tonga,59,"47,889","19,709",33,57.8,8.9,0.3,100,68.2
Trinidad and Tobago,"1,006","41,094","14,888",41,52.2,6.5,0.3,100,73.2
Tunisia,"8,111","13,853","5,395",68.6,30,1.4,0,100,70.5
Turkey,"55,543","24,398","6,568",62.3,34.8,2.7,0.2,100,79.4
Turkmenistan,"3,607","15,691","6,974",60.3,38.3,1.4,0,100,63
Uganda,"18,650","1,603",612,98.1,1.9,0.1,0,100,72.9
Ukraine,"34,998","8,792","1,223",88.8,10.4,0.8,0.1,100,84.7
United Arab Emirates,"7,874","117,060","35,315",32.5,44.8,21.2,1.6,100,79.6
United Kingdom,"51,209","280,049","97,452",17.4,33,44.8,4.8,100,74.6
United States,"245,140","432,365","65,904",26.9,31,34.5,7.6,100,85.2
Uruguay,"2,501","30,320","11,084",47.7,48.2,4,0.2,100,72.1
Vanuatu,157,"15,090","6,098",64,34.4,1.5,0.1,100,68.8
Venezuela,"20,912",1,0,100,0,0,0,100,74.3
Vietnam,"68,085","11,712","3,679",78,20.8,1.1,0.1,100,76.1
Yemen,"14,580","4,926","1,467",93.3,6.3,0.5,0,100,79.8
Zambia,"7,926","2,565",784,95.7,4.1,0.2,0,100,79.8
Zimbabwe,"8,340","4,734","1,843",90.8,8.9,0.3,0,100,71.9
Africa,"634,831","6,488","1,219",88.5,10.8,0.6,0,100,82.2
Asia-Pacific,"1,194,919","54,211","4,188",65.7,24.5,9.2,0.6,100,88
China,"1,090,231","58,544","20,942",24.6,65,10,0.4,100,70.2
Europe,"589,402","153,973","24,742",38.2,33.9,25.7,2.3,100,82.4
India,"865,783","14,569","3,042",78.2,20,1.7,0.1,100,83.2
Latin America,"440,218","22,502","4,929",66.6,30.5,2.8,0.2,100,82.8
North America,"274,381","417,694","69,162",26.2,30.7,35.8,7.3,100,84.3
World,"5,089,766","70,849","7,087",56.6,32.6,9.8,0.9,100,88.5